objectid,vilnam_soi,stcode11,dtcode11,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,relocated,t_pop2011,STVIL,LOC_STAT_1,NAME
"472942",Dahghoria No.2,"18","307","02049","287747",ASSAM,Lakhimpur,Bihpuria,Dahgharia No.2,"287747",,"0","18287747",Census Village,Dahgharia No.2
"472957",Belengbari,"18","311","02073","292920",ASSAM,Sivasagar,Nazira,Belang Bari,"292920",,"1232","18292920",Census Village,Belang Bari
"472966",Joykhamdang Khat,"18","311","02073","292877",ASSAM,Sivasagar,Nazira,Joykhamdang Khat Gaon,"292877",,"879","18292877",Census Village,Joykhamdang Khat Gaon
"473000",Mokhuti No.2,"18","760","02076","293406",ASSAM,Jorhat,Majuli,Mohkhuti No.2,"293406",,"1485","18293406",Census Village,Mohkhuti No.2
"473006",Mekheligaon,"18","760","02076","293445",ASSAM,Jorhat,Majuli,Mekheli Gaon,"293445",,"985","18293445",Census Village,Mekheli Gaon
"473018",Bangaligaon,"18","307","02049","287721",ASSAM,Lakhimpur,Bihpuria,Bangali Gaon,"287721",,"1206","18287721",Census Village,Bangali Gaon
"473021",Mola Gaon,"18","311","02073","292891",ASSAM,Sivasagar,Nazira,Mola Gaon,"292891",,"1049","18292891",Census Village,Mola Gaon
"473032",Jorabari Block,"18","307","02048","287472",ASSAM,Lakhimpur,Narayanpur,No.1 Jarabari Block,"287472",,"742","18287472",Census Village,No.1 Jarabari Block
"473040",Balipukhuri,"18","307","02048","287419",ASSAM,Lakhimpur,Narayanpur,Balipukhuri,"287419",,"412","18287419",Census Village,Balipukhuri
"473050",Khula Khowa Pathar,"18","311","02073","292922",ASSAM,Sivasagar,Nazira,Khula Khowa Pothar,"292922",,"257","18292922",Census Village,Khula Khowa Pothar
"473073",Singia No.1,"18","307","02048","287476",ASSAM,Lakhimpur,Narayanpur,No.1 Singia,"287476",,"222","18287476",Census Village,No.1 Singia
"473075",Dekasensua,"18","760","02076","293437",ASSAM,Jorhat,Majuli,Deka Senchowa,"293437",,"1207","18293437",Census Village,Deka Senchowa
"473100",Bengenati Grant,"18","307","02049","287715",ASSAM,Lakhimpur,Bihpuria,Bengenaati Grant,"287715",,"548","18287715",Census Village,Bengenaati Grant
"473103",Modhupur,"18","307","02049","287742",ASSAM,Lakhimpur,Bihpuria,Madhupur,"287742",,"71","18287742",Census Village,Madhupur
