blkcode11,block_name,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,amount_paid,no_install_due,amount_due
211,Sipajhar,33905,283,30324,3298,0,61636,"₹12,32,72,000 ",252171,"₹50,43,42,000 "
87,Sissibargaon,5622,5140,475,7,0,39660,"₹7,93,20,000 ",41111,"₹8,22,22,000 "
90,Bordoloni,4760,4338,416,6,0,33373,"₹6,67,46,000 ",34700,"₹6,94,00,000 "
86,Dhemaji,9114,8282,822,10,0,64984,"₹12,99,68,000 ",67489,"₹13,49,78,000 "
89,Machkhowa,,,,,,,,,
11,Chapar-salkocha,4052,68,3827,157,0,8201,"₹1,64,02,000 ",30342,"₹6,06,84,000 "
8,Debitola,9362,300,6971,2091,0,15541,"₹3,10,82,000 ",68952,"₹13,79,04,000 "
18,Fekamari,7133,6286,767,80,0,48685,"₹9,73,70,000 ",51683,"₹10,33,66,000 "
24,Krishnai,2021,1846,175,0,0,14378,"₹2,87,56,000 ",14898,"₹2,97,96,000 "
13,Gauripur,22736,37,18471,4228,0,39290,"₹7,85,80,000 ",169895,"₹33,97,90,000 "
6,Golokganj,4658,10,4260,388,0,8509,"₹1,70,18,000 ",34811,"₹6,96,22,000 "
9,Mahamaya,6797,674,5881,242,0,16243,"₹3,24,86,000 ",50168,"₹10,03,36,000 "
126,Golaghat Central,4172,0,4134,38,0,24677,"₹4,93,54,000 ",30804,"₹6,16,08,000 "
25,Matia,,,,,,,,,
191,Rampur,1406,1195,121,90,0,9795,"₹1,95,90,000 ",10310,"₹2,06,20,000 "
19,Mankachar,7403,6252,1119,32,0,50647,"₹10,12,94,000 ",54204,"₹10,84,08,000 "
7,Rupsi Pt.,10736,33,9362,1341,0,19961,"₹3,99,22,000 ",80727,"₹16,14,54,000 "
17,South Salmara,11917,5802,5943,172,0,57328,"₹11,46,56,000 ",88754,"₹17,75,08,000 "
27,Rongjuli,8424,7467,946,11,0,58086,"₹11,61,72,000 ",60908,"₹12,18,16,000 "
98,Barbarua,2049,1909,139,1,0,15566,"₹3,11,32,000 ",16037,"₹3,20,74,000 "
104,Joypur,5320,5036,275,9,0,39736,"₹7,94,72,000 ",40563,"₹8,11,26,000 "
102,Khowang,7121,6352,766,3,0,52813,"₹10,56,26,000 ",55207,"₹11,04,14,000 "
99,Lahowal,1804,1737,66,1,0,13866,"₹2,77,32,000 ",14079,"₹2,81,58,000 "
124,Golaghat North,861,0,859,2,0,5238,"₹1,04,76,000 ",6482,"₹1,29,64,000 "
129,Golaghat South,12888,0,12810,78,0,72470,"₹14,49,40,000 ",91779,"₹18,35,58,000 "
122,Golaghat West,13471,24,13421,26,0,78116,"₹15,62,32,000 ",98527,"₹19,70,54,000 "
100,Panitola,6355,5922,433,0,0,46298,"₹9,25,96,000 ",47590,"₹9,51,80,000 "
101,Tengakhat,5198,4791,400,7,0,38524,"₹7,70,48,000 ",39836,"₹7,96,72,000 "
103,Tingkhong,2347,2061,285,1,0,17303,"₹3,46,06,000 ",18086,"₹3,61,72,000 "
20,Jaleswar,15378,11883,3435,60,0,102088,"₹20,41,76,000 ",113053,"₹22,61,06,000 "
26,Kushdhawa,4182,3688,493,1,0,28835,"₹5,76,70,000 ",30349,"₹6,06,98,000 "
166,Ramkrishna Nagar,3848,2424,1192,232,0,22648,"₹4,52,96,000 ",27787,"₹5,55,74,000 "
21,Lakhipur,10230,8527,1696,7,0,70193,"₹14,03,86,000 ",75693,"₹15,13,86,000 "
46,Dulongghat Pt.,1010,206,803,1,0,5140,"₹1,02,80,000 ",7577,"₹1,51,54,000 "
44,Kapili Pt.,1278,674,603,1,0,7318,"₹1,46,36,000 ",9145,"₹1,82,90,000 "
118,Jorhat Central,3512,3170,332,10,0,24961,"₹4,99,22,000 ",26022,"₹5,20,44,000 "
188,Goroimari,11843,3797,8014,32,0,62387,"₹12,47,74,000 ",86930,"₹17,38,60,000 "
127,Golaghat East,9016,0,8847,169,0,50604,"₹10,12,08,000 ",64613,"₹12,92,26,000 "
128,Gamariguri,4915,0,4870,45,0,28009,"₹5,60,18,000 ",35687,"₹7,13,74,000 "
125,Kakodonga,,,,,,,,,
123,Morongi,2481,0,2471,10,0,15246,"₹3,04,92,000 ",18742,"₹3,74,84,000 "
168,Algapur,13208,11040,2085,83,0,92004,"₹18,40,08,000 ",98116,"₹19,62,32,000 "
169,Hailakandi,18115,14878,3188,49,0,124921,"₹24,98,42,000 ",134957,"₹26,99,14,000 "
42,Mairabari Pt.,12442,2700,8886,856,0,42694,"₹8,53,88,000 ",93011,"₹18,60,22,000 "
171,Katlicherra,7112,6266,836,10,0,52001,"₹10,40,02,000 ",54706,"₹10,94,12,000 "
45,Batadrawa,15522,2799,12708,15,0,76514,"₹15,30,28,000 ",114997,"₹22,99,94,000 "
60,Binnakandi,2153,293,1835,25,0,11352,"₹2,27,04,000 ",16285,"₹3,25,70,000 "
170,Lala,13149,11050,2070,29,0,92060,"₹18,41,20,000 ",98607,"₹19,72,14,000 "
172,South Hailakandi,6572,5584,979,9,0,45190,"₹9,03,80,000 ",48217,"₹9,64,34,000 "
117,Jorhat,7710,7092,559,59,0,55993,"₹11,19,86,000 ",57945,"₹11,58,90,000 "
120,Jorhat East,138,131,7,0,0,986,"₹19,72,000 ",1010,"₹20,20,000 "
119,Kaliapani,10615,9702,894,19,0,76581,"₹15,31,62,000 ",79380,"₹15,87,60,000 "
114,Majuli,10680,9502,1177,1,0,79893,"₹15,97,86,000 ",83446,"₹16,68,92,000 "
185,Sualkuchi,1817,1519,295,3,0,12640,"₹2,52,80,000 ",13562,"₹2,71,24,000 "
116,Jorhat North West,11418,10787,618,13,0,82885,"₹16,57,70,000 ",84779,"₹16,95,58,000 "
121,Titabar,12696,11270,1390,36,0,91311,"₹18,26,22,000 ",95659,"₹19,13,18,000 "
181,Rangia,8967,6788,1454,725,0,55772,"₹11,15,44,000 ",63921,"₹12,78,42,000 "
193,Rani,1510,1300,207,3,0,10325,"₹2,06,50,000 ",10976,"₹2,19,52,000 "
130,Amri,4971,152,2797,2022,0,5549,"₹1,10,98,000 ",34559,"₹6,91,18,000 "
135,Bokajan,118,0,114,4,0,189,"₹3,78,000 ",856,"₹17,12,000 "
115,Ujani Majuli,10162,9525,633,4,0,76838,"₹15,36,76,000 ",78783,"₹15,75,66,000 "
48,Kaliabor,5161,3253,1908,0,0,33211,"₹6,64,22,000 ",38982,"₹7,79,64,000 "
183,Bezera,1917,1384,529,4,0,12424,"₹2,48,48,000 ",14344,"₹2,86,88,000 "
180,Bihdia-jajikona,7164,4802,2344,18,0,45583,"₹9,11,66,000 ",52779,"₹10,55,58,000 "
190,Boko-bongaon,3795,1955,1824,16,0,22421,"₹4,48,42,000 ",28005,"₹5,60,10,000 "
