,state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_,objectid,vilnam_soi,stcode11_2,dtcode11_2,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,t_pop2011,STVIL,LOC_STAT_1,NAME
393,Assam,Cachar,18,316,148,Barkhola,2511,2584,282,18,380814452.0,133171.3808,335783.0,Uzan Nagar,18.0,316.0,2096.0,299165.0,ASSAM,Cachar,Katigora,Ujan Nagar,299165.0,1443.0,18299165.0,Census Village,Ujan Nagar
395,Assam,Cachar,18,316,148,Barkhola,2511,2584,282,18,380814452.0,133171.3808,336011.0,Uzan Nagar,18.0,316.0,2096.0,299165.0,ASSAM,Cachar,Katigora,Ujan Nagar,299165.0,1443.0,18299165.0,Census Village,Ujan Nagar
402,Assam,Cachar,18,316,148,Barkhola,2511,2584,282,18,380814452.0,133171.3808,337011.0,Chandra Nathpur,18.0,316.0,2096.0,299145.0,ASSAM,Cachar,Katigora,Chandranath Pur,299145.0,2781.0,18299145.0,Census Village,Chandranath Pur
404,Assam,Cachar,18,316,148,Barkhola,2511,2584,282,18,380814452.0,133171.3808,337218.0,Sonacherra T.E.,18.0,316.0,2096.0,299137.0,ASSAM,Cachar,Katigora,Sonachera Grant,299137.0,771.0,18299137.0,Census Village,Sonachera Grant
405,Assam,Cachar,18,316,148,Barkhola,2511,2584,282,18,380814452.0,133171.3808,337256.0,Sonacherra T.E.,18.0,316.0,2096.0,299137.0,ASSAM,Cachar,Katigora,Sonachera Grant,299137.0,771.0,18299137.0,Census Village,Sonachera Grant
414,Assam,Cachar,18,316,148,Barkhola,2511,2584,282,18,380814452.0,133171.3808,340352.0,Tibongcherra Khasia Punji,18.0,316.0,2096.0,299140.0,ASSAM,Cachar,Katigora,Tibong Chera Khasia Punjee,299140.0,126.0,18299140.0,Census Village,Tibong Chera Khasia Punjee
415,Assam,Cachar,18,316,148,Barkhola,2511,2584,282,18,380814452.0,133171.3808,340420.0,Tibongcherra Khasia Punji,18.0,316.0,2096.0,299140.0,ASSAM,Cachar,Katigora,Tibong Chera Khasia Punjee,299140.0,126.0,18299140.0,Census Village,Tibong Chera Khasia Punjee
469,Assam,Barpeta,18,303,34,Bhawanipur,2491,2586,280,18,226011927.9,145156.1072,433723.0,Ambari,18.0,303.0,2022.0,283013.0,ASSAM,Barpeta,Barpeta,Ambari,283013.0,553.0,18283013.0,Census Village,Ambari
470,Assam,Barpeta,18,303,34,Bhawanipur,2491,2586,280,18,226011927.9,145156.1072,434033.0,Ambari,18.0,303.0,2022.0,283013.0,ASSAM,Barpeta,Barpeta,Ambari,283013.0,553.0,18283013.0,Census Village,Ambari
541,Assam,Barpeta,18,303,29,Chakchaka,2492,2587,280,18,154033167.7,113003.6393,438024.0,Completely Eroded Village,18.0,303.0,2018.0,305761.0,ASSAM,Barpeta,Barnagar (Pt),Khalingduar  RF,305761.0,3065.0,18305761.0,Census Village,Khalingduar  RF
